Skill;Domanda;Riposta1;Risposta2;Risposta3;Risposta esatta
NOSQL;You need multi-item ACID transactions with snapshot isolation within a partition for your cloud-based application. Which NoSQL databse do you choose?; Bigtable;GraphDB;DynamoDB;Cosmos DB
MySQL;Which MySQL command shows the structure of a table?;INFO table;SHOW table;STRUCTURE table;DESCRIBE table
MySQL;Which MySQL command modifies data records in a table?;MODIFY;CHANGE;ALTER;UPDATE
MySQL;How can you remove a record using MySQL?;DELETE;REMOVE;REMOVE FROM;DELETE FROM
MySQL;"In SELECT * FROM clients; what does clients represent?";SQL query;SQL statement;database;table
MySQL;If you need to order a table of movies by name, which query will work?;SELECT * FROM movies GROUP BY name;SELECT * FROM movies ORDER TABLE by name;SELECT * FROM movies FILTER BY name;SELECT * FROM movies ORDER BY name
MySQL;What is the default port for MySQL Server?;25;990;0;3306
MySQL;What is the difference between DROP and TRUNCATE?;They both refer to the same operation of deleting the table completely;They both refer to the same operation of clearing the table, but keeping its definition intact;TRUNCATE deletes table completely, removing its definition as well. DROP clears the table but does not delete the definition;DROP deletes table completely, removing its definition as well. TRUNCATE clears the table but does not delete the definition
MySQL;How do you select every row in a given table named “inventory”?;SELECT all FROM inventory;FROM inventory SELECT all;FROM inventory SELECT *;SELECT * FROM inventory
MySQL;In an efficiently designed relational database, what does every table have?;set of triggers;sequential id field;minimum of three columns;primary key
MySQL;You need to export the data in the customers table into a CSV file, with columns headers in the first row. Which clause do you add to your MySQL command?;JOIN;WITH HEADERS;WITH COLUMNS;UNION
R;How does a matrix differ from a data frame?;matrix may contain numeric values only.;matrix must not be singular.;data frame may contain variables of different lengths.;data frame may contain variables that have different modes
R;What do you use to take an object such as a data frame out of the workspace?;erase();detach();delete();remove()
R;The variable height is a numeric vector in the code below. Which statement returns the value 35?;height(length(height));height[length[height]];height(5);height[length(height)]
R;Which choice does R regard as an acceptable name for a variable?;Var_A!;\_VarA;.2Var_A;Var2_A 
R;What is the principal difference between an array and a matrix?;An array is a subtype of the data frame, while a matrix is a separate type entirely;A matrix can have columns of different lengths, but an array's columns must all be the same length.;A matrix may contain numeric values only, while an array can mix different types of values.;A matrix has two dimensions, while an array can have three or more dimensions.
R;Which is not a property of lists and vectors?;type;length;attributes;scalar
R;How does a vector differ from a list?;Vectors are used only for numeric data, while lists are useful for both numeric and string data.;Vectors and lists are the same thing and can be used interchangeably.;Vectors are like arrays, while lists are like data frames.;A vector contains items of a single data type, while a list can contain items of different data types.
R;What statement shows the objects on your workspace?;list.objects();print.objects();getws();ls()
R;What function joins two or more column vectors to form a data frame?;rbind();bind();coerce();cbind()
R;Which function in R combines different values into a single object?;connect();concat();contact();c()
JAVA;How can you achieve runtime polymorphism in Java?;method overloading;method overrunning;method calling;method overriding
JAVA;By implementing encapsulation, you cannot directly access the class’s _ properties unless you are writing code inside the class itself.;public;no-modifier;protected;private
JAVA;Fill in the blank to create a piece of code that will tell whether int0 is divisible by 5: boolean isDivisibleBy5 = _____;int0 / 5 ? true: false;int0 % 5 != 5;Math.isDivisible(int0, 5);]int0 % 5 == 0
JAVA;The runtime system starts your program by calling which function first?;print;iterative;hello;main
JAVA;Which statement is NOT true?;An anonymous class may specify an abstract base class as its base type.;An anonymous class may specify both an abstract class and interface as base types;An anonymous class may specify an interface as its base type.;An anonymous class does not require a zero-argument constructor.
JAVA;What method can be used to create a new instance of an object?;another instance;field;private method;constructor
JAVA;Which is the most reliable expression for testing whether the values of two string variables are the same?;string1 == string2;string1 = string2;string1.matches(string2);string1.equals(string2)
JAVA;Which are valid keywords in a Java module descriptor (module-info.java)?;provides, employs;imports, exports;consumes, supplies;requires, exports
JAVA;Which type of variable keeps a constant value once it is assigned?;non-static;static;private;final
JAVA;You get a NullPointerException. What is the most likely cause?;A file that needs to be opened cannot be found.;A network connection has been lost in the middle of communications.;Your code has used up all available memory.;The object you are using has not been instantiated.
REACT;If you want to import just the Component from the React library, what syntax do you use?;import React.Component from 'react';import [ Component ] from 'react';import Component from 'react';import { Component } from 'react'
REACT;What is the testing library most often associated with React?;Mocha;Chai;Sinon;Jest
REACT;What can you use to handle code splitting?;React.memo;React.split;React.fallback;React.lazy
REACT;Which of these terms commonly describe React applications?;integrated;closed;imperative;declarative
REACT;What package contains the render() function that renders a React element tree to the DOM?;React;Render;DOM;ReactDOM
REACT;Which function from React can you use to wrap Component imports to load them lazily?;fallback;split;memo;lazy
REACT;Which answer best describes a function component?;A function component is the same as a class component.;A function component is the only way to create a component;A function component is required to create a React component.;A function component accepts a single props object and returns a React element
REACT;Which library does the `fetch()` function come from?;FetchJS;ReactDOM;React;No library. `fetch()` is supported by most browsers.
REACT;Which function is used to update state variables in a React class component?;replaceState;refreshState;updateState;setState
REACT;Among The following options, choose the one which helps react for keeping their data uni-directional?;DOM;JSX;Props;flux
NOSQL;To index a field that holds an array value in MongoDB, which index type do you create?;partial;sparse;compound;multikey
NOSQL;You need to create a document database that supports database triggers. Which NoSQL database should you use?;BigTable;Redis;MongoDB;DynamoDB
NOSQL;You need to change the shard key of an existing MongoDB collection. What do you do?;Dump the collection data, drop the collection, create a new collection and shard key, import the data.;Add second shard key and drop the first shard key.;Drop and recreate the shard key;Dump the collection data, drop the collection, presplit the data, create a new collection and shard key, import the data
NOSQL;Polyglot storage means using multiple types of what in the same application?;Security systems;Database systems;Query systems;Storage systems
NOSQL;You need to implement the simplest possible scalable, in-memory cache for your AWS application. Which service do you select?;Elasticache using Memcached.;DynamoDB.;DynamoDB Accelerator (DAX); Elasticache using Redis
NOSQL;Which two characteristics define Amazon Quantum Ledger Database?;"Key-value data model; transactionally consistent with ACID semantics";"Key-value data model; transactions with tunable consistency.";"Document data model; transactions with tunable consistency.";"Document data model; transactionally consistent with ACID semantics."
NOSQL;Which of these data types should you avoid in designing a Google Bigtable row key?;multi-valued identifiers;string identifiers;timestamps;frequently updated identifiers
NOSQL;Your startup is building a prototype that has an evolving schema. Your data will be eventually consistent. Your application is hosted in AWS. Which database do you choose?;Neptune;DocumentDB;Amazon Aurora;DynamoDB
NOSQL;Which statement is preferred Cypher code for Neo4j?;MATCH (:Person)–>(:Card)–>(:Company) RETURN count(vehicle);Match (:Person)–>(:Car):(vehicle:Car)–>(:Company) RETURN count(vehicle);MATCH (:Person)–>(:Card), (vehicle:Car)–>(:Company) RETURN count(vehicle);MATCH (:Person)–>(vehicle:Car)–>(:Company) RETURN count(vehicle)
NOSQL;You need multi-item ACID transactions with snapshot isolation within a partition for your cloud-based application. Which NoSQL databse do you choose?; Bigtable;GraphDB;DynamoDB;Cosmos DB
MySQL;Which MySQL command shows the structure of a table?;INFO table;SHOW table;STRUCTURE table;DESCRIBE table
MySQL;Which MySQL command modifies data records in a table?;MODIFY;CHANGE;ALTER;UPDATE
MySQL;How can you remove a record using MySQL?;DELETE;REMOVE;REMOVE FROM;DELETE FROM
MySQL;"In SELECT * FROM clients; what does clients represent?";SQL query;SQL statement;database;table
MySQL;If you need to order a table of movies by name, which query will work?;SELECT * FROM movies GROUP BY name;SELECT * FROM movies ORDER TABLE by name;SELECT * FROM movies FILTER BY name;SELECT * FROM movies ORDER BY name
MySQL;What is the default port for MySQL Server?;25;990;0;3306
MySQL;What is the difference between DROP and TRUNCATE?;They both refer to the same operation of deleting the table completely;They both refer to the same operation of clearing the table, but keeping its definition intact;TRUNCATE deletes table completely, removing its definition as well. DROP clears the table but does not delete the definition;DROP deletes table completely, removing its definition as well. TRUNCATE clears the table but does not delete the definition
MySQL;How do you select every row in a given table named “inventory”?;SELECT all FROM inventory;FROM inventory SELECT all;FROM inventory SELECT *;SELECT * FROM inventory
MySQL;In an efficiently designed relational database, what does every table have?;set of triggers;sequential id field;minimum of three columns;primary key
MySQL;You need to export the data in the customers table into a CSV file, with columns headers in the first row. Which clause do you add to your MySQL command?;JOIN;WITH HEADERS;WITH COLUMNS;UNION
R;How does a matrix differ from a data frame?;matrix may contain numeric values only.;matrix must not be singular.;data frame may contain variables of different lengths.;data frame may contain variables that have different modes
R;What do you use to take an object such as a data frame out of the workspace?;erase();detach();delete();remove()
R;The variable height is a numeric vector in the code below. Which statement returns the value 35?;height(length(height));height[length[height]];height(5);height[length(height)]
R;Which choice does R regard as an acceptable name for a variable?;Var_A!;\_VarA;.2Var_A;Var2_A 
R;What is the principal difference between an array and a matrix?;An array is a subtype of the data frame, while a matrix is a separate type entirely;A matrix can have columns of different lengths, but an array's columns must all be the same length.;A matrix may contain numeric values only, while an array can mix different types of values.;A matrix has two dimensions, while an array can have three or more dimensions.
R;Which is not a property of lists and vectors?;type;length;attributes;scalar
R;How does a vector differ from a list?;Vectors are used only for numeric data, while lists are useful for both numeric and string data.;Vectors and lists are the same thing and can be used interchangeably.;Vectors are like arrays, while lists are like data frames.;A vector contains items of a single data type, while a list can contain items of different data types.
R;What statement shows the objects on your workspace?;list.objects();print.objects();getws();ls()
R;What function joins two or more column vectors to form a data frame?;rbind();bind();coerce();cbind()
R;Which function in R combines different values into a single object?;connect();concat();contact();c()
JAVA;How can you achieve runtime polymorphism in Java?;method overloading;method overrunning;method calling;method overriding
JAVA;By implementing encapsulation, you cannot directly access the class’s _ properties unless you are writing code inside the class itself.;public;no-modifier;protected;private
JAVA;Fill in the blank to create a piece of code that will tell whether int0 is divisible by 5: boolean isDivisibleBy5 = _____;int0 / 5 ? true: false;int0 % 5 != 5;Math.isDivisible(int0, 5);]int0 % 5 == 0
JAVA;The runtime system starts your program by calling which function first?;print;iterative;hello;main
JAVA;Which statement is NOT true?;An anonymous class may specify an abstract base class as its base type.;An anonymous class may specify both an abstract class and interface as base types;An anonymous class may specify an interface as its base type.;An anonymous class does not require a zero-argument constructor.
JAVA;What method can be used to create a new instance of an object?;another instance;field;private method;constructor
JAVA;Which is the most reliable expression for testing whether the values of two string variables are the same?;string1 == string2;string1 = string2;string1.matches(string2);string1.equals(string2)
JAVA;Which are valid keywords in a Java module descriptor (module-info.java)?;provides, employs;imports, exports;consumes, supplies;requires, exports
JAVA;Which type of variable keeps a constant value once it is assigned?;non-static;static;private;final
JAVA;You get a NullPointerException. What is the most likely cause?;A file that needs to be opened cannot be found.;A network connection has been lost in the middle of communications.;Your code has used up all available memory.;The object you are using has not been instantiated.
